address	type	comment
100267c0	PLATE	Library Function - Single Match\n _fix_grouping\n\nLibrary: Visual Studio
10027830	PLATE	Library Function - Single Match\n _crtGetLocaleInfoA@16\n\nLibrary: Visual Studio 2003 Debug\n__stdcall crtGetLocaleInfoA,16
10027a40	PLATE	Library Function - Single Match\n _GetPrimaryLen\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2005 Debug, Visual Studio 2008 Debug, Visual Studio 2010 Debug
10029010	PLATE	Library Function - Multiple Matches With Different Base Names\n void __cdecl _store_str(char *,char * *,unsigned int *)\n __store_str\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2005 Debug, Visual Studio 2008 Debug, Visual Studio 2010 Debug
10029110	PLATE	Library Function - Multiple Matches With Different Base Names\n void __cdecl _store_number(int,char * *,unsigned int *)\n __store_number\n\nLibraries: Visual Studio 2003 Debug, Visual Studio 2005 Debug, Visual Studio 2008 Debug, Visual Studio 2010 Debug
1002acb0	PLATE	Library Function - Single Match\n __allmul\n\nLibrary: Visual Studio
1002ad20	PLATE	Library Function - Multiple Matches With Different Base Names\n __getenv_lk\n _getenv\n\nLibrary: Visual Studio 2003 Debug
1002adf0	PLATE	Library Function - Single Match\n __mbsnbicoll\n\nLibrary: Visual Studio 2003 Debug
1002b620	PLATE	Library Function - Single Match\n _findenv\n\nLibrary: Visual Studio 2003 Debug
1002b6a0	PLATE	Library Function - Single Match\n _copy_environ\n\nLibrary: Visual Studio 2003 Debug
10038748	PLATE	Export Function Pointers
10038758	PLATE	Export Name Pointers
10038768	PLATE	Export Ordinal Values
10038770	PLATE	Export Library Name
10046000	PLATE	IMAGE_IMPORT_DESCRIPTOR
10046014	PLATE	IMAGE_IMPORT_DESCRIPTOR
10046028	PLATE	IMAGE_IMPORT_DESCRIPTOR
10046050	EOL	IMAGE_THUNK_DATA32
10046054	EOL	IMAGE_THUNK_DATA32
10046058	EOL	IMAGE_THUNK_DATA32
1004605c	EOL	IMAGE_THUNK_DATA32
10046060	EOL	IMAGE_THUNK_DATA32
10046064	EOL	IMAGE_THUNK_DATA32
10046068	EOL	IMAGE_THUNK_DATA32
1004606c	EOL	IMAGE_THUNK_DATA32
10046070	EOL	IMAGE_THUNK_DATA32
10046074	EOL	IMAGE_THUNK_DATA32
10046078	EOL	IMAGE_THUNK_DATA32
1004607c	EOL	IMAGE_THUNK_DATA32
10046080	EOL	IMAGE_THUNK_DATA32
10046084	EOL	IMAGE_THUNK_DATA32
10046088	EOL	IMAGE_THUNK_DATA32
1004608c	EOL	IMAGE_THUNK_DATA32
10046090	EOL	IMAGE_THUNK_DATA32
10046094	EOL	IMAGE_THUNK_DATA32
10046098	EOL	IMAGE_THUNK_DATA32
1004609c	EOL	IMAGE_THUNK_DATA32
100460a0	EOL	IMAGE_THUNK_DATA32
100460a4	EOL	IMAGE_THUNK_DATA32
100460a8	EOL	IMAGE_THUNK_DATA32
100460ac	EOL	IMAGE_THUNK_DATA32
100460b0	EOL	IMAGE_THUNK_DATA32
100460b4	EOL	IMAGE_THUNK_DATA32
100460b8	EOL	IMAGE_THUNK_DATA32
100460bc	EOL	IMAGE_THUNK_DATA32
100460c0	EOL	IMAGE_THUNK_DATA32
100460c4	EOL	IMAGE_THUNK_DATA32
100460c8	EOL	IMAGE_THUNK_DATA32
100460cc	EOL	IMAGE_THUNK_DATA32
100460d0	EOL	IMAGE_THUNK_DATA32
100460d4	EOL	IMAGE_THUNK_DATA32
100460d8	EOL	IMAGE_THUNK_DATA32
100460dc	EOL	IMAGE_THUNK_DATA32
100460e0	EOL	IMAGE_THUNK_DATA32
100460e4	EOL	IMAGE_THUNK_DATA32
100460e8	EOL	IMAGE_THUNK_DATA32
100460ec	EOL	IMAGE_THUNK_DATA32
100460f0	EOL	IMAGE_THUNK_DATA32
100460f4	EOL	IMAGE_THUNK_DATA32
100460f8	EOL	IMAGE_THUNK_DATA32
100460fc	EOL	IMAGE_THUNK_DATA32
10046100	EOL	IMAGE_THUNK_DATA32
10046104	EOL	IMAGE_THUNK_DATA32
10046108	EOL	IMAGE_THUNK_DATA32
1004610c	EOL	IMAGE_THUNK_DATA32
10046110	EOL	IMAGE_THUNK_DATA32
10046114	EOL	IMAGE_THUNK_DATA32
10046118	EOL	IMAGE_THUNK_DATA32
1004611c	EOL	IMAGE_THUNK_DATA32
10046120	EOL	IMAGE_THUNK_DATA32
10046124	EOL	IMAGE_THUNK_DATA32
10046128	EOL	IMAGE_THUNK_DATA32
1004612c	EOL	IMAGE_THUNK_DATA32
10046130	EOL	IMAGE_THUNK_DATA32
10046134	EOL	IMAGE_THUNK_DATA32
10046138	EOL	IMAGE_THUNK_DATA32
1004613c	EOL	IMAGE_THUNK_DATA32
10046140	EOL	IMAGE_THUNK_DATA32
10046144	EOL	IMAGE_THUNK_DATA32
10046148	EOL	IMAGE_THUNK_DATA32
1004614c	EOL	IMAGE_THUNK_DATA32
10046150	EOL	IMAGE_THUNK_DATA32
10046154	EOL	IMAGE_THUNK_DATA32
10046158	EOL	IMAGE_THUNK_DATA32
1004615c	EOL	IMAGE_THUNK_DATA32
10046160	EOL	IMAGE_THUNK_DATA32
10046164	EOL	IMAGE_THUNK_DATA32
10046168	EOL	IMAGE_THUNK_DATA32
1004616c	EOL	IMAGE_THUNK_DATA32
