address	length	data_type	value
00541d98	6	string	Flare
00541da0	15	string	Cruise Missile
00541db0	8	string	Caltrop
00541db8	8	string	Thumper
00541dc0	8	string	Piercer
00541dd0	12	string	Pulse Shell
00541ddc	14	string	Heavy Missile
00541dec	7	string	Hunter
00541df4	14	string	Short Missile
00541e04	12	string	Repair Beam
00541e10	11	string	Autocannon
00541e1c	40	string	<<* CORRUPT ENTITY [TYPE NOT VALID] *>>
00541e44	13	string	NULL POINTER
00541e58	64	string	FATAL CONDITION: %s[%d] visible: %d is still in the OID TABLE!\n
00541e98	12	string	\n\nIn %s:%d\n
00541ea4	21	string	..\\shared\\entity.cpp
00541ed8	8	string	ILLEGAL
00541ee0	12	string	Ground Unit
00541eec	11	string	Space Unit
00541ef8	7	string	Weapon
00541f00	12	string	Manned Unit
00541f0c	35	string	%s %d: ENTITY[%d] is not defined!\n
00541f30	26	string	..\\shared\\entity_info.cpp
00541f4c	11	string	Decoration
00541f58	8	string	Spy Bug
00541f63	13	string	BDarklight
00541f70	7	string	Portal
00541f78	8	string	Skypump
00541f82	22	string	HDMissile Launcher
00541f98	19	string	Heavy Missile Silo
00541fac	12	string	Flak Turret
00541fbb	9	string	DShield
00541fc4	11	string	Repair Pad
00541fd3	13	string	ERefuel Pad
00541fe0	11	string	Power Cell
00541fee	18	string	zDSpace Explosion
00542000	14	string	Particle Beam
00542010	8	string	Torpedo
00542018	10	string	Cargo Box
00542024	13	string	Mortar Shell
00542034	12	string	Aereal Bomb
00542040	13	string	Orbital Bomb
0054205a	14	string	HBFlak Shell
00542068	10	string	Transport
00542074	7	string	Bomber
0054207c	17	string	Assault Platform
00542090	6	string	Scout
005420a0	24	string	\tTitle: %s Streams: %d\n
005420b8	38	string	\nGraph Category Dump: <%s> %d graphs\n
005420e0	12	string	/tmp/%s.log
005420ec	11	string	%d @ %ld:\s
005420f8	27	string	..\\shared\\vehicle_info.cpp
00542114	19	string	%s source is NULL\n
00542128	7	string	(null)
00542130	26	string	Unable to find map '%s'!\n
0054215c	16	string	Mb`?undefined
00542184	28	string	!!! Failed to load shapes!\n
005421a0	15	string	../data/shapes
005421b4	44	string	%d %.12f %.12f %.12f  %.12f %.12f %.12f %d\n
005421e0	13	string	saving %s%d\s
005421f0	9	string	NOTFOUND
00542204	8	string	* %s %d
0054220c	10	string	mapstates
00542220	35	string	DECORATION SUCCESS %d, wanted %d!\n
00542244	7	string	t: %s\n
0054224c	33	string	%d %d %lf %lf %lf %lf %lf %lf %d
00542270	30	string	CARGO SUCCESS %d, wanted %d!\n
00542290	33	string	%c %d %lf %lf %lf %lf %lf %lf %d
005422b4	24	string	SUCCESS %d, wanted %d!\n
005422cc	9	string	buf: %s\n
005422d8	30	string	%d %lf %lf %lf %lf %lf %lf %d
005422f8	41	string	Unable to open startstate file! '%s'\n\n\n\n
00542324	12	string	unit_box
00542340	12	string	darklight_1
0054234c	12	string	darklight_2
00542358	12	string	portal_1
00542364	12	string	portal_2
00542370	12	string	skypump_1
0054237c	12	string	skypump_2
00542388	20	string	missile_launcher_1
0054239c	20	string	missile_launcher_2
005423b0	16	string	heavy_silo_1
005423c0	16	string	heavy_silo_2
005423d0	16	string	gun_turret_1
005423e0	16	string	gun_turret_2
005423f0	16	string	flak_turret_1
00542400	16	string	flak_turret_2
00542410	12	string	shield_1
0054241c	12	string	shield_2
00542428	12	string	repair_1
00542434	12	string	repair_2
00542458	8	string	torpedo
00542460	12	string	spaceship_1
0054246c	12	string	spaceship_2
00542478	12	string	uplinkblue
00542484	12	string	uplinkred
00542490	8	string	cargo
00542498	12	string	caltrop_1
005424a4	12	string	caltrop_2
005424b0	12	string	rocket_1
005424bc	12	string	rocket_2
005424c8	12	string	p_rocket_1
005424d4	12	string	p_rocket_2
005424e8	16	string	heavy_missile_1
005424f8	16	string	heavy_missile_2
00542508	12	string	missile_1
00542514	12	string	missile_2
00542520	12	string	s_missile_1
0054252c	12	string	s_missile_2
00542538	12	string	pulse_shell
00542544	12	string	flak_shell
00542550	7	string	bomber
00542558	12	string	refuel_1
00542564	12	string	refuel_2
00542570	8	string	scout_1
00542578	8	string	scout_2
00542594	7	string	%s%c%s
