address	type	comment
004c52ac	PRE	533  RegisterClassA  <<not bound>>
004c52b0	PRE	445  LoadIconA  <<not bound>>
004c52b4	PRE	698  UpdateWindow  <<not bound>>
004c52b8	PRE	657  ShowWindow  <<not bound>>
004c52bc	PRE	515  PostQuitMessage  <<not bound>>
004c52c0	PRE	158  DialogBoxParamA  <<not bound>>
004c52c4	PRE	198  EndDialog  <<not bound>>
004c52c8	PRE	491  MoveWindow  <<not bound>>
004c52cc	PRE	270  GetDesktopWindow  <<not bound>>
004c52d0	PRE	594  SetDlgItemTextA  <<not bound>>
004c52d4	PRE	196  EnableWindow  <<not bound>>
004c52d8	PRE	275  GetDlgItemTextA  <<not bound>>
004c52dc	PRE	376  GetWindowTextLengthA  <<not bound>>
004c52e0	PRE	273  GetDlgItem  <<not bound>>
004c52e4	PRE	604  SetMenu  <<not bound>>
004c52e8	PRE	516  PostThreadMessageA  <<not bound>>
004c52ec	PRE	332  GetQueueStatus  <<not bound>>
004c52f0	PRE	511  PeekMessageA  <<not bound>>
004c52f4	PRE	492  MsgWaitForMultipleObjects  <<not bound>>
004c52f8	PRE	550  RegisterWindowMessageA  <<not bound>>
004c52fc	PRE	441  LoadCursorA  <<not bound>>
004c5300	PRE	588  SetCursor  <<not bound>>
004c5304	PRE	436  KillTimer  <<not bound>>
004c5308	PRE	633  SetTimer  <<not bound>>
004c530c	PRE	513  PostMessageA  <<not bound>>
004c5310	PRE	345  GetSubMenu  <<not bound>>
004c5314	PRE	453  LoadMenuA  <<not bound>>
004c5318	PRE	307  GetMenuItemID  <<not bound>>
004c531c	PRE	145  DeleteMenu  <<not bound>>
004c5320	PRE	64  ClientToScreen  <<not bound>>
004c5324	PRE	675  TrackPopupMenu  <<not bound>>
004c5328	PRE	151  DestroyMenu  <<not bound>>
004c532c	PRE	597  SetFocus  <<not bound>>
004c5330	PRE	579  SetCapture  <<not bound>>
004c5334	PRE	552  ReleaseCapture  <<not bound>>
004c5338	PRE	664  SystemParametersInfoA  <<not bound>>
004c533c	PRE	560  ScreenToClient  <<not bound>>
004c5340	PRE	243  GetCapture  <<not bound>>
004c5344	PRE	267  GetCursorPos  <<not bound>>
004c5348	PRE	722  WindowFromPoint  <<not bound>>
004c534c	PRE	255  GetClientRect  <<not bound>>
004c5350	PRE	458  LoadStringA  <<not bound>>
004c5354	PRE	194  EnableMenuItem  <<not bound>>
