epoch_s,x,y,z,vx,vy,vz,yaw
1781573372.434010,5361.059082,5142.487793,49.328762,1.310917,-0.003188,0.208322,6.167439
1781573372.534133,5361.176270,5142.487793,49.346794,1.146958,-0.010386,0.421155,6.168851
1781573372.633832,5361.281738,5142.487793,49.438519,0.986940,-0.008937,1.699212,6.170043
1781573372.733955,5361.377930,5142.487793,49.723312,0.849262,-0.007691,3.880567,6.171010
1781573372.833885,5361.454102,5142.487793,50.206547,0.729694,-0.006608,5.338768,6.171789
1781573372.934162,5361.525391,5142.487793,50.771778,0.627905,-0.005686,5.678823,6.172395
1781573373.034329,5361.579102,5142.487793,51.331890,0.540319,-0.004893,5.525511,6.172858
1781573373.134102,5361.627441,5142.487793,52.045910,0.465643,-0.004217,8.134106,6.173210
1781573373.234091,5361.675781,5142.487793,52.886768,0.401292,-0.003634,8.185825,6.173255
1781573373.334159,5361.716309,5142.487793,53.679993,0.344272,-0.003118,6.649589,6.173323
1781573373.434103,5361.743652,5142.487793,54.286915,0.296239,-0.002683,4.965032,6.173460
1781573373.534193,5361.769531,5142.487793,54.750694,0.254913,-0.002308,3.911806,6.173543
1781573373.633989,5361.793457,5142.487793,55.150478,0.219684,-0.001989,3.716476,6.173586
1781573373.734125,5361.816895,5142.487793,55.568340,0.188755,-0.001709,4.047749,6.173594
1781573373.833956,5361.838867,5142.487793,56.022049,0.162668,-0.001473,4.513958,6.173577
1781573373.934150,5361.863281,5142.487793,56.511784,0.139978,-0.001268,4.747338,6.173540
1781573374.034058,5361.883301,5142.487793,56.893806,0.120271,-0.001089,2.782678,6.173492
1781573374.133888,5361.886230,5142.487793,57.095787,0.103493,-0.000937,1.382626,6.173451
1781573374.234010,5361.893066,5142.487793,57.194374,0.089053,-0.000806,0.785778,6.173416
1781573374.334204,5361.894043,5142.487793,57.262257,0.076630,-0.000694,0.570643,6.173383
1781573374.433918,5362.018066,5142.474121,57.281700,3.108753,-0.377743,-0.280442,6.173354
1781573374.534063,5362.508789,5142.413086,57.219418,6.608927,-0.812743,-0.904761,6.173328
1781573374.633909,5363.341309,5142.376953,57.113945,9.910674,0.888720,-1.095981,6.173306
1781573374.734232,5364.484375,5142.599609,56.998859,12.866098,3.489026,-1.234320,6.173287
1781573374.834084,5365.901367,5143.062988,56.857658,15.408965,5.726779,-1.662584,6.173266
1781573374.933928,5367.536621,5143.727051,56.653069,17.576706,7.634842,-2.517488,6.173240
1781573375.033900,5369.390137,5144.576172,56.354355,19.462399,9.295138,-3.428445,6.173205
1781573375.134123,5371.418945,5145.578125,55.978096,21.084278,10.723681,-4.033011,6.173166
1781573375.234110,5373.599609,5146.713379,55.559334,22.479557,11.953193,-4.295095,6.173123
1781573375.334137,5375.956055,5147.988770,55.116932,23.701971,13.030957,-4.360383,6.173078
1781573375.434335,5378.353027,5149.324707,54.684319,24.721754,13.930631,-4.381800,6.173033
1781573375.534119,5380.844238,5150.744141,54.250690,25.566696,14.718661,-4.306601,6.172985
1781573375.633961,5383.463379,5152.267578,53.838409,26.281033,15.421391,-3.856405,6.172863
1781573375.734224,5386.121094,5153.840332,53.482254,26.862471,16.033939,-3.212598,6.172619
1781573375.834243,5388.806152,5155.456055,53.201900,27.359945,16.555414,-2.461926,6.172331
1781573375.934031,5391.592285,5157.151367,52.984367,27.799095,17.011793,-1.889635,6.172039
1781573376.034163,5394.390137,5158.872559,52.813625,28.175444,17.398985,-1.560086,6.171762
1781573376.134321,5397.196777,5160.610352,52.667839,28.498949,17.727818,-1.409739,6.171500
1781573376.233931,5400.062500,5162.399414,52.527943,28.784693,18.013069,-1.417116,6.171243
1781573376.334147,5402.953613,5164.212891,52.379215,29.032944,18.257309,-1.575583,6.170978
1781573376.433967,5405.868652,5166.048828,52.208801,29.250568,18.467571,-1.852998,6.170688
1781573376.533986,5408.800781,5167.904785,52.006687,29.440399,18.647406,-2.187199,6.170355
1781573376.633879,5411.783203,5169.798340,51.771065,29.607897,18.802212,-2.460963,6.169971
1781573376.734097,5414.722656,5171.663086,51.519615,29.746250,18.932928,-2.580125,6.169556
1781573376.834186,5417.701172,5173.566895,51.272114,29.861399,19.046898,-2.220524,6.169104
1781573376.933914,5420.693359,5175.471680,51.106388,29.965326,19.129517,-0.944674,6.168626
1781573377.034153,5423.756836,5177.426270,51.098633,30.059975,19.195589,0.812911,6.168037
1781573377.134302,5426.700684,5179.315430,51.269188,30.138430,19.235416,2.641071,6.167298
