entry	name	full_name	namespace	name_source	signature_source	calling_convention	return_type	parameter_count	is_thunk	thunk_target	is_external	body_ranges	comment	repeatable_comment	prototype
10004450	grHints	grHints	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	10004450-100044fc	__stdcall grHints,8	\N	undefined __stdcall grHints(undefined4 param_1, uint param_2)
10004510	grGlideInit	grGlideInit	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	0	false	\N	false	10004510-1000451e	__stdcall grGlideInit,0	\N	undefined __stdcall grGlideInit(void)
10004520	grGlideShamelessPlug	grGlideShamelessPlug	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10004520-1000452b	__stdcall grGlideShamelessPlug,4	\N	undefined __stdcall grGlideShamelessPlug(undefined4 param_1)
10004530	grResetTriStats	grResetTriStats	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	0	false	\N	false	10004530-1000455f	__stdcall grResetTriStats,0	\N	undefined __stdcall grResetTriStats(void)
10004560	grTriStats	grTriStats	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	10004560-1000457a	__stdcall grTriStats,8	\N	undefined __stdcall grTriStats(undefined4 * param_1, undefined4 * param_2)
10004590	grSstQueryBoards	grSstQueryBoards	Global	ANALYSIS	ANALYSIS	__stdcall	undefined4	1	false	\N	false	10004590-100045a2	__stdcall grSstQueryBoards,4	\N	undefined4 __stdcall grSstQueryBoards(int * param_1)
100045b0	grSstQueryHardware	grSstQueryHardware	Global	ANALYSIS	ANALYSIS	__stdcall	bool	1	false	\N	false	100045b0-100045e8	__stdcall grSstQueryHardware,4	\N	bool __stdcall grSstQueryHardware(undefined4 * param_1)
100045f0	grSstSelect	grSstSelect	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	100045f0-10004669	__stdcall grSstSelect,4	\N	undefined __stdcall grSstSelect(uint param_1)
10004670	grSstScreenWidth	grSstScreenWidth	Global	ANALYSIS	ANALYSIS	__stdcall	longlong	0	false	\N	false	10004670-1000467f	__stdcall grSstScreenWidth,0	\N	longlong __stdcall grSstScreenWidth(void)
10004680	grSstScreenHeight	grSstScreenHeight	Global	ANALYSIS	ANALYSIS	__stdcall	longlong	0	false	\N	false	10004680-1000468f	__stdcall grSstScreenHeight,0	\N	longlong __stdcall grSstScreenHeight(void)
10004690	grSstVidMode	grSstVidMode	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	10004690-100046ba	__stdcall grSstVidMode,8	\N	undefined __stdcall grSstVidMode(int param_1, undefined4 param_2)
100046c0	FUN_100046c0	FUN_100046c0	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	100046c0-10004736	\N	\N	undefined __stdcall FUN_100046c0(void)
10004740	FUN_10004740	FUN_10004740	Global	DEFAULT	ANALYSIS	__cdecl	uint	5	false	\N	false	10004740-100047c5	\N	\N	uint __cdecl FUN_10004740(int param_1, uint param_2, int param_3, int param_4, int param_5)
100047d0	FUN_100047d0	FUN_100047d0	Global	DEFAULT	ANALYSIS	__stdcall	ulonglong	0	false	\N	false	100047d0-100047ee	\N	\N	ulonglong __stdcall FUN_100047d0(void)
100047f0	FUN_100047f0	FUN_100047f0	Global	DEFAULT	ANALYSIS	__cdecl	int	5	false	\N	false	100047f0-10004851	\N	\N	int __cdecl FUN_100047f0(int param_1, uint param_2, int param_3, int param_4, int param_5)
10004860	grTexCalcMemRequired	grTexCalcMemRequired	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	4	false	\N	false	10004860-10004880	__stdcall grTexCalcMemRequired,16	\N	undefined __stdcall grTexCalcMemRequired(int param_1, uint param_2, int param_3, int param_4)
10004890	grTexDetailControl	grTexDetailControl	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	10004890-100048c6	__stdcall grTexDetailControl,16	\N	undefined __stdcall grTexDetailControl(int param_1, uint3 param_2, byte param_3)
100048d0	grTexMinAddress	grTexMinAddress	Global	ANALYSIS	ANALYSIS	__stdcall	undefined4	0	false	\N	false	100048d0-100048e5	__stdcall grTexMinAddress,4	\N	undefined4 __stdcall grTexMinAddress(void)
100048f0	grTexMaxAddress	grTexMaxAddress	Global	ANALYSIS	ANALYSIS	__stdcall	int	1	false	\N	false	100048f0-1000491d	__stdcall grTexMaxAddress,4	\N	int __stdcall grTexMaxAddress(int param_1)
10004920	grTexTextureMemRequired	grTexTextureMemRequired	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	10004920-10004944	__stdcall grTexTextureMemRequired,8	\N	undefined __stdcall grTexTextureMemRequired(int param_1, int * param_2)
10004950	grTexDownloadMipMap	grTexDownloadMipMap	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	4	false	\N	false	10004950-100049e0	__stdcall grTexDownloadMipMap,16	\N	undefined __stdcall grTexDownloadMipMap(int param_1, uint param_2, uint param_3, int * param_4)
100049f0	grTexDownloadTablePartial	grTexDownloadTablePartial	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	5	false	\N	false	100049f0-10004a3c	__stdcall grTexDownloadTablePartial,20	\N	undefined __stdcall grTexDownloadTablePartial(int param_1, int param_2, int param_3, uint param_4, int param_5)
10004a40	grTexDownloadMipMapLevel	grTexDownloadMipMapLevel	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	8	false	\N	false	10004a40-10004a83	__stdcall grTexDownloadMipMapLevel,32	\N	undefined __stdcall grTexDownloadMipMapLevel(int param_1, uint param_2, uint param_3, uint param_4, int param_5, int param_6, uint param_7, ushort * param_8)
10004a90	FUN_10004a90	FUN_10004a90	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	10004a90-10004a90	\N	\N	undefined __stdcall FUN_10004a90(void)
10004aa0	FUN_10004aa0	FUN_10004aa0	Global	DEFAULT	ANALYSIS	__stdcall	undefined	0	false	\N	false	10004aa0-10004b91	\N	\N	undefined __stdcall FUN_10004aa0(void)
10004be0	grErrorSetCallback	grErrorSetCallback	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10004be0-10004beb	__stdcall grErrorSetCallback,4	\N	undefined __stdcall grErrorSetCallback(undefined4 param_1)
10004c30	guMovieStart	guMovieStart	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	0	false	\N	false	10004c30-10004c40	__stdcall guMovieStart,0	\N	undefined __stdcall guMovieStart(void)
10004c50	guMovieStop	guMovieStop	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	0	false	\N	false	10004c50-10004c60	__stdcall guMovieStop,0	\N	undefined __stdcall guMovieStop(void)
10004c70	guMovieSetName	guMovieSetName	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	0	false	\N	false	10004c70-10004c82	__stdcall guMovieSetName,4	\N	undefined __stdcall guMovieSetName(void)
10004c90	guTexAllocateMemory	guTexAllocateMemory	Global	ANALYSIS	ANALYSIS	__stdcall	uint	15	false	\N	false	10004c90-10004f35	__stdcall guTexAllocateMemory,60	\N	uint __stdcall guTexAllocateMemory(int param_1, byte param_2, undefined4 param_3, undefined4 param_4, int param_5, int param_6, uint param_7, uint param_8, int param_9, int param_10, int param_11, int param_12, int param_13, undefined4 param_14, int param_15)
10004f40	guTexChangeAttributes	guTexChangeAttributes	Global	ANALYSIS	ANALYSIS	__stdcall	undefined4	12	false	\N	false	10004f40-1000501a	__stdcall guTexChangeAttributes,48	\N	undefined4 __stdcall guTexChangeAttributes(int param_1, int param_2, int param_3, int param_4, int param_5, int param_6, int param_7, int param_8, int param_9, int param_10, int param_11, int param_12)
10005020	FUN_10005020	FUN_10005020	Global	DEFAULT	ANALYSIS	__cdecl	undefined	1	false	\N	false	10005020-100050e2	\N	\N	undefined __cdecl FUN_10005020(int param_1)
100050f0	grTexCombineFunction	grTexCombineFunction	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	100050f0-10005101	__stdcall grTexCombineFunction,8	\N	undefined __stdcall grTexCombineFunction(int param_1, undefined4 param_2)
10005110	guTexCombineFunction	guTexCombineFunction	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	10005110-10005245	__stdcall guTexCombineFunction,8	\N	undefined __stdcall guTexCombineFunction(int param_1, undefined4 param_2)
10005280	guTexDownloadMipMap	guTexDownloadMipMap	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	10005280-100052fc	__stdcall guTexDownloadMipMap,12	\N	undefined __stdcall guTexDownloadMipMap(int param_1, int param_2, undefined4 * param_3)
10005300	guTexDownloadMipMapLevel	guTexDownloadMipMapLevel	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	10005300-1000539d	__stdcall guTexDownloadMipMapLevel,12	\N	undefined __stdcall guTexDownloadMipMapLevel(int param_1, uint param_2, int * param_3)
100053a0	guTexGetCurrentMipMap	guTexGetCurrentMipMap	Global	ANALYSIS	ANALYSIS	__stdcall	undefined4	1	false	\N	false	100053a0-100053c1	__stdcall guTexGetCurrentMipMap,4	\N	undefined4 __stdcall guTexGetCurrentMipMap(int param_1)
100053d0	guTexGetMipMapInfo	guTexGetMipMapInfo	Global	ANALYSIS	ANALYSIS	__stdcall	int	1	false	\N	false	100053d0-100053f1	__stdcall guTexGetMipMapInfo,4	\N	int __stdcall guTexGetMipMapInfo(int param_1)
10005400	guTexMemQueryAvail	guTexMemQueryAvail	Global	ANALYSIS	ANALYSIS	__stdcall	int	1	false	\N	false	10005400-10005436	__stdcall guTexMemQueryAvail,4	\N	int __stdcall guTexMemQueryAvail(int param_1)
10005440	guTexMemReset	guTexMemReset	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	0	false	\N	false	10005440-1000549f	__stdcall guTexMemReset,0	\N	undefined __stdcall guTexMemReset(void)
100054a0	FUN_100054a0	FUN_100054a0	Global	DEFAULT	ANALYSIS	__stdcall	undefined	1	false	\N	false	100054a0-100055d4	\N	\N	undefined __stdcall FUN_100054a0(int param_1)
10005600	guMPDrawTriangle	guMPDrawTriangle	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	3	false	\N	false	10005600-10005e16	__stdcall guMPDrawTriangle,12	\N	undefined __stdcall guMPDrawTriangle(float * param_1, float * param_2, float * param_3)
10005e20	grAADrawPoint	grAADrawPoint	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	1	false	\N	false	10005e20-10005f65	__stdcall grAADrawPoint,4	\N	undefined __stdcall grAADrawPoint(float * param_1)
10005f70	grAADrawLine	grAADrawLine	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	2	false	\N	false	10005f70-1000616f	__stdcall grAADrawLine,8	\N	undefined __stdcall grAADrawLine(float * param_1, float * param_2)
10006170	grAADrawTriangle	grAADrawTriangle	Global	ANALYSIS	ANALYSIS	__stdcall	undefined	6	false	\N	false	10006170-100062c4	__stdcall grAADrawTriangle,24	\N	undefined __stdcall grAADrawTriangle(float * param_1, float * param_2, float * param_3, int param_4, int param_5, int param_6)
100062d0	FUN_100062d0	FUN_100062d0	Global	DEFAULT	ANALYSIS	__cdecl	undefined	3	false	\N	false	100062d0-100063f2	\N	\N	undefined __cdecl FUN_100062d0(float * param_1, float * param_2, undefined4 param_3)
10006410	FUN_10006410	FUN_10006410	Global	DEFAULT	ANALYSIS	__cdecl	undefined	3	false	\N	false	10006410-100068ba	\N	\N	undefined __cdecl FUN_10006410(float * param_1, float * param_2, float * param_3)
