address	type	comment
1000ac50	PLATE	__stdcall grTexNCCTable,8
1000ac50	PRE	0xac50  95  _grTexNCCTable@8
1000ad00	PLATE	__stdcall grTexSource,16
1000ad00	PRE	0xad00  96  _grTexSource@16
1000aed0	PLATE	__stdcall grTexMultibase,8
1000aed0	PRE	0xaed0  93  _grTexMultibase@8
1000af80	PLATE	__stdcall grTexMultibaseAddress,20
1000af80	PRE	0xaf80  94  _grTexMultibaseAddress@20
1000b2e0	PLATE	__stdcall grTexDownloadTable,12
1000b2e0	PRE	0xb2e0  86  _grTexDownloadTable@12
1000b330	PLATE	__stdcall grTexDownloadMipMapLevelPartial,40
1000b330	PRE	0xb330  85  _grTexDownloadMipMapLevelPartial@40
1000bd80	PRE	0xbd80  1  _ConvertAndDownloadRle@64
1000c290	PLATE	__stdcall guTexSource,4
1000c290	PRE	0xc290  132  _guTexSource@4
1000ccd0	PLATE	__stdcall guFbReadRegion,24
1000ccd0	PRE	0xccd0  109  _guFbReadRegion@24
1000cdb0	PLATE	__stdcall guFbWriteRegion,24
1000cdb0	PRE	0xcdb0  110  _guFbWriteRegion@24
10011540	PLATE	__stdcall pciOpen,0
10011540	PRE	0x11540  141  _pciOpen@0
10011720	PLATE	__stdcall pciClose,0
10011720	PRE	0x11720  133  _pciClose@0
10011740	PLATE	__stdcall pciDeviceExists,4
10011740	PRE	0x11740  134  _pciDeviceExists@4
10011770	PLATE	__stdcall pciGetConfigData,20
10011770	PRE	0x11770  137  _pciGetConfigData@20
10011800	PLATE	__stdcall pciSetConfigData,20
10011800	PRE	0x11800  142  _pciSetConfigData@20
10011890	PLATE	__stdcall pciMapPhysicalToLinear,12
10011890	PRE	0x11890  140  _pciMapPhysicalToLinear@12
10011960	PLATE	__stdcall pciUnmapPhysical,8
10011960	PRE	0x11960  143  _pciUnmapPhysical@8
10011970	PLATE	__stdcall pciFindCardMulti,16
10011970	PRE	0x11970  136  _pciFindCardMulti@16
10011a40	PLATE	__stdcall pciFindCard,12
10011a40	PRE	0x11a40  135  _pciFindCard@12
10011a60	PLATE	__stdcall pciMapCardMulti,24
10011a60	PRE	0x11a60  139  _pciMapCardMulti@24
10011b90	PLATE	__stdcall pciMapCard,20
10011b90	PRE	0x11b90  138  _pciMapCard@20
1001caf0	PLATE	Library Function - Single Match\n __fpmath\n\nLibrary: Visual Studio 1998 Release
1001cb58	PLATE	Library Function - Single Match\n __ftol\n\nLibrary: Visual Studio
1001cb80	PLATE	Library Function - Single Match\n _fclose\n\nLibrary: Visual Studio 1998 Release
1001cbf0	PLATE	Library Function - Single Match\n _sscanf\n\nLibrary: Visual Studio 1998 Release
1001cc40	PLATE	Library Function - Single Match\n __filbuf\n\nLibrary: Visual Studio 1998 Release
1001cd30	PLATE	Library Function - Single Match\n __fsopen\n\nLibrary: Visual Studio 1998 Release
1001cd80	PLATE	Library Function - Single Match\n _fread\n\nLibrary: Visual Studio 1998 Release
1001cf20	PLATE	Library Function - Single Match\n _malloc\n\nLibrary: Visual Studio 1998 Release
1001cf40	PLATE	Library Function - Single Match\n __nh_malloc\n\nLibrary: Visual Studio 1998 Release
1001cf90	PLATE	Library Function - Single Match\n __heap_alloc\n\nLibrary: Visual Studio 1998 Release
1001d000	PLATE	Library Function - Single Match\n _atol\n\nLibrary: Visual Studio 1998 Release
1001d0b0	PLATE	Library Function - Single Match\n _atoi\n\nLibrary: Visual Studio 1998 Release
1001d0c0	PLATE	Library Function - Multiple Matches With Different Base Names\n __getenv_lk\n _getenv\n\nLibrary: Visual Studio 1998 Release
1001d160	PLATE	Library Function - Single Match\n _sprintf\n\nLibrary: Visual Studio 1998 Release
1001d1d0	PLATE	Library Function - Single Match\n _puts\n\nLibrary: Visual Studio 1998 Release
1001d250	PLATE	Library Function - Single Match\n __cinit\n\nLibrary: Visual Studio 1998 Release
1001d280	PLATE	Library Function - Single Match\n _exit\n\nLibrary: Visual Studio 1998 Release
1001d2a0	PLATE	Library Function - Single Match\n __exit\n\nLibrary: Visual Studio 1998 Release
1001d2c0	PLATE	Library Function - Single Match\n __cexit\n\nLibrary: Visual Studio 1998 Release
